Sexo,RendaFamiliar,CorRaca,Idade,Semest,CategoriadeSituacao,Turno,CargaHorariaMinimaRegulamentada,FatordeEsforcodeCurso,Regiao
"F","0,5<RFP<=1","Preta",33,6,"Evadidos","Integral",3000,1.21,"Região Sudeste"
"F","0,5<RFP<=1","Preta",31,6,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","0<RFP<=0,5","Preta",27,9,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","1<RFP<=1,5","Preta",30,10,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","1<RFP<=1,5","Preta",20,4,"Evadidos","Integral",3000,1.1,"Região Nordeste"
"M","1<RFP<=1,5","Preta",17,0,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","NA","Preta",43,4,"Evadidos","Integral",3600,1.14,"Região Nordeste"
"M","0<RFP<=0,5","Preta",30,4,"Evadidos","Integral",3600,1.1,"Região Sul"
"M","0,5<RFP<=1","Preta",23,4,"Evadidos","Integral",3600,1.16,"Região Sul"
"M","0<RFP<=0,5","Preta",25,4,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","0<RFP<=0,5","Preta",23,10,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"F","0<RFP<=0,5","Preta",25,10,"Evadidos","Integral",3600,1.19,"Região Sudeste"
"M","0,5<RFP<=1","Preta",23,1,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","0<RFP<=0,5","Preta",20,1,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","2,5<RFP<=3,5","Preta",24,10,"Evadidos","Integral",3600,1.19,"Região Sudeste"
"M","NA","Preta",21,2,"Evadidos","Integral",2400,1.13,"Região Sudeste"
"M","NA","Preta",36,2,"Evadidos","Integral",2400,1.13,"Região Sudeste"
"M","0<RFP<=0,5","Preta",20,2,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","NA","Preta",23,1,"Evadidos","Integral",3600,1.16,"Região Norte"
"F","1<RFP<=1,5","Preta",19,1,"Evadidos","Integral",3600,1.15,"Região Norte"
"F","1,5<RFP<=2,5","Preta",22,1,"Evadidos","Integral",3200,1.06,"Região Norte"
"F","0<RFP<=0,5","Preta",46,8,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","0,5<RFP<=1","Preta",39,8,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","0,5<RFP<=1","Preta",22,4,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"F","1<RFP<=1,5","Preta",19,1,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","NA","Preta",30,2,"Evadidos","Integral",3600,1.19,"Região Sul"
"M","NA","Preta",19,2,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","1,5<RFP<=2,5","Preta",23,8,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","1<RFP<=1,5","Preta",65,10,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","2,5<RFP<=3,5","Preta",29,10,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","1,5<RFP<=2,5","Preta",26,10,"Evadidos","Integral",3000,1.21,"Região Sudeste"
"F","RFP>3,5","Preta",30,10,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","RFP>3,5","Preta",19,1,"Evadidos","Integral",3600,1.1,"Região Centro-Oeste"
"M","NA","Preta",48,0,"Evadidos","Integral",3600,1.14,"Região Centro-Oeste"
"F","0,5<RFP<=1","Preta",19,1,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"F","0,5<RFP<=1","Preta",24,1,"Evadidos","Integral",3200,1.06,"Região Nordeste"
"F","NA","Preta",20,4,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"F","0<RFP<=0,5","Preta",30,1,"Evadidos","Integral",3200,1.06,"Região Nordeste"
"M","RFP>3,5","Preta",26,10,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","0<RFP<=0,5","Preta",53,10,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"F","0,5<RFP<=1","Preta",40,10,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","NA","Preta",30,10,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"F","NA","Preta",26,10,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","1,5<RFP<=2,5","Preta",28,10,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"F","1,5<RFP<=2,5","Preta",26,10,"Evadidos","Integral",2400,1.13,"Região Sudeste"
"M","1,5<RFP<=2,5","Preta",25,10,"Evadidos","Integral",3600,1.15,"Região Norte"
"F","0<RFP<=0,5","Preta",32,5,"Evadidos","Integral",3600,1.15,"Região Norte"
"M","1<RFP<=1,5","Preta",27,9,"Evadidos","Integral",3600,1.14,"Região Norte"
"M","0,5<RFP<=1","Preta",19,2,"Evadidos","Integral",3600,1.06,"Região Sudeste"
"M","NA","Preta",21,2,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","0,5<RFP<=1","Preta",34,2,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"F","0,5<RFP<=1","Preta",27,2,"Evadidos","Integral",3600,1.15,"Região Norte"
"M","1,5<RFP<=2,5","Preta",20,3,"Evadidos","Integral",3600,1.16,"Região Norte"
"M","NA","Preta",31,2,"Evadidos","Integral",2400,1,"Região Sudeste"
"M","NA","Preta",20,3,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"F","0,5<RFP<=1","Preta",22,3,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","0<RFP<=0,5","Preta",25,2,"Evadidos","Integral",3000,1.21,"Região Sudeste"
"F","0<RFP<=0,5","Preta",23,3,"Evadidos","Integral",2400,1.13,"Região Sudeste"
"M","NA","Preta",24,4,"Evadidos","Integral",3600,1.15,"Região Nordeste"
"M","NA","Preta",25,4,"Evadidos","Integral",3600,1.15,"Região Nordeste"
"M","0<RFP<=0,5","Preta",20,3,"Evadidos","Integral",3600,1.19,"Região Sudeste"
"M","0,5<RFP<=1","Preta",20,3,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","NA","Preta",30,3,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"F","1,5<RFP<=2,5","Preta",20,3,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","0,5<RFP<=1","Preta",21,3,"Evadidos","Integral",3600,1.06,"Região Sudeste"
"F","0,5<RFP<=1","Preta",23,2,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","0,5<RFP<=1","Preta",40,6,"Evadidos","Integral",3000,1.21,"Região Sudeste"
"M","0,5<RFP<=1","Preta",32,3,"Evadidos","Integral",3600,1.19,"Região Sudeste"
"M","1,5<RFP<=2,5","Preta",36,3,"Evadidos","Integral",3000,1.21,"Região Sudeste"
"M","2,5<RFP<=3,5","Preta",29,10,"Evadidos","Integral",3000,1.21,"Região Sudeste"
"M","1,5<RFP<=2,5","Preta",36,10,"Evadidos","Integral",3000,1.21,"Região Sudeste"
"F","NA","Preta",21,6,"Evadidos","Integral",3000,1.21,"Região Sudeste"
"M","NA","Preta",48,10,"Evadidos","Integral",3000,1.21,"Região Sudeste"
"M","2,5<RFP<=3,5","Preta",24,10,"Evadidos","Integral",3000,1.21,"Região Sudeste"
"M","0<RFP<=0,5","Preta",21,6,"Evadidos","Integral",3000,1.1,"Região Sudeste"
"F","1<RFP<=1,5","Preta",22,6,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"F","0,5<RFP<=1","Preta",23,6,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","0<RFP<=0,5","Preta",21,5,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","0<RFP<=0,5","Preta",24,5,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"F","0<RFP<=0,5","Preta",24,6,"Evadidos","Integral",3200,1.24,"Região Nordeste"
"F","NA","Preta",31,5,"Evadidos","Integral",3200,1.15,"Região Sudeste"
"M","0<RFP<=0,5","Preta",18,1,"Evadidos","Integral",3600,1.15,"Região Centro-Oeste"
"F","NA","Preta",24,7,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","0<RFP<=0,5","Preta",20,1,"Evadidos","Integral",3600,1.15,"Região Centro-Oeste"
"F","0<RFP<=0,5","Preta",19,1,"Evadidos","Integral",3600,1.15,"Região Centro-Oeste"
"F","0,5<RFP<=1","Preta",27,6,"Evadidos","Integral",2400,1.1,"Região Sudeste"
"M","NA","Preta",27,6,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"F","NA","Preta",21,7,"Evadidos","Integral",3200,1.1,"Região Sudeste"
"F","NA","Preta",35,7,"Evadidos","Integral",3200,1.1,"Região Sudeste"
"M","1<RFP<=1,5","Preta",24,6,"Evadidos","Integral",3600,1.15,"Região Norte"
"F","1,5<RFP<=2,5","Preta",31,4,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","NA","Preta",19,1,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"F","NA","Preta",29,4,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"F","1<RFP<=1,5","Preta",22,5,"Evadidos","Integral",3600,1.1,"Região Sudeste"
"F","1<RFP<=1,5","Preta",20,5,"Evadidos","Integral",2400,1.15,"Região Sudeste"
"M","NA","Preta",21,5,"Evadidos","Integral",3200,1.1,"Região Sudeste"
"M","NA","Preta",21,5,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","NA","Preta",31,5,"Evadidos","Integral",3000,1.1,"Região Nordeste"
"M","1,5<RFP<=2,5","Preta",25,4,"Evadidos","Integral",3600,1.1,"Região Sudeste"
"F","1<RFP<=1,5","Preta",25,3,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","0<RFP<=0,5","Preta",21,7,"Evadidos","Integral",3600,1.15,"Região Sul"
"M","2,5<RFP<=3,5","Preta",29,10,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","NA","Preta",23,4,"Evadidos","Integral",3000,1.1,"Região Nordeste"
"F","0<RFP<=0,5","Preta",21,4,"Evadidos","Integral",3600,1.15,"Região Sul"
"F","1<RFP<=1,5","Preta",28,5,"Evadidos","Integral",3200,1.06,"Região Sudeste"
"M","0<RFP<=0,5","Preta",27,5,"Evadidos","Integral",3000,1.1,"Região Sudeste"
"M","0,5<RFP<=1","Preta",22,5,"Evadidos","Integral",3000,1,"Região Sudeste"
"M","NA","Preta",20,5,"Evadidos","Integral",2400,1.15,"Região Sudeste"
"M","0<RFP<=0,5","Preta",20,5,"Evadidos","Integral",3600,1.14,"Região Norte"
"M","0<RFP<=0,5","Preta",32,4,"Evadidos","Integral",3600,1.06,"Região Sudeste"
"F","NA","Preta",23,10,"Evadidos","Integral",3200,1.15,"Região Sudeste"
"M","1,5<RFP<=2,5","Preta",28,10,"Evadidos","Integral",3600,1.1,"Região Sudeste"
"M","0,5<RFP<=1","Preta",21,3,"Evadidos","Integral",2400,1.15,"Região Sudeste"
"M","1<RFP<=1,5","Preta",19,3,"Evadidos","Integral",2400,1.15,"Região Sudeste"
"F","0,5<RFP<=1","Preta",33,2,"Evadidos","Integral",3600,1.15,"Região Nordeste"
"M","0,5<RFP<=1","Preta",22,2,"Evadidos","Integral",3600,1.15,"Região Nordeste"
"F","1,5<RFP<=2,5","Preta",27,10,"Evadidos","Integral",3200,1,"Região Sudeste"
"M","0,5<RFP<=1","Preta",33,2,"Evadidos","Integral",3600,1.15,"Região Centro-Oeste"
"F","1<RFP<=1,5","Preta",21,2,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","NA","Preta",25,10,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"F","NA","Preta",29,9,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","0,5<RFP<=1","Preta",21,4,"Evadidos","Integral",2400,1.15,"Região Sudeste"
"F","NA","Preta",26,6,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","NA","Preta",32,10,"Evadidos","Integral",3000,1.1,"Região Nordeste"
"M","RFP>3,5","Preta",51,8,"Evadidos","Integral",3200,1,"Região Sudeste"
"M","NA","Preta",25,10,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","RFP>3,5","Preta",40,10,"Evadidos","Integral",3000,1.21,"Região Sudeste"
"F","0,5<RFP<=1","Preta",27,10,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","0,5<RFP<=1","Preta",22,10,"Evadidos","Integral",2400,1.15,"Região Sudeste"
"M","0<RFP<=0,5","Preta",30,10,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","0,5<RFP<=1","Preta",27,10,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"F","NA","Preta",32,10,"Evadidos","Integral",3600,1.2,"Região Sudeste"
"F","NA","Preta",22,8,"Evadidos","Integral",3600,1.1,"Região Centro-Oeste"
"F","0<RFP<=0,5","Preta",30,9,"Evadidos","Integral",3600,1.14,"Região Norte"
"M","0,5<RFP<=1","Preta",38,1,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"F","NA","Preta",21,5,"Evadidos","Integral",3600,1.15,"Região Centro-Oeste"
"M","0,5<RFP<=1","Preta",21,6,"Evadidos","Integral",3600,1.1,"Região Sudeste"
"M","1<RFP<=1,5","Preta",21,6,"Evadidos","Integral",2400,1.15,"Região Sudeste"
"M","0,5<RFP<=1","Preta",36,10,"Evadidos","Integral",3600,1.14,"Região Nordeste"
"M","1<RFP<=1,5","Preta",44,9,"Evadidos","Integral",3000,1.1,"Região Nordeste"
"M","1,5<RFP<=2,5","Preta",30,10,"Evadidos","Integral",3600,1.2,"Região Sudeste"
"F","NA","Preta",28,10,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"F","1<RFP<=1,5","Preta",31,7,"Evadidos","Integral",3600,1.14,"Região Norte"
"M","RFP>3,5","Preta",27,10,"Evadidos","Integral",3600,1.19,"Região Sudeste"
"M","2,5<RFP<=3,5","Preta",20,2,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"F","1<RFP<=1,5","Preta",19,2,"Evadidos","Integral",3600,1.14,"Região Norte"
"F","RFP>3,5","Preta",22,2,"Evadidos","Integral",3200,1.15,"Região Sudeste"
"M","NA","Preta",36,3,"Evadidos","Integral",2400,1.13,"Região Sudeste"
"F","2,5<RFP<=3,5","Preta",24,4,"Evadidos","Integral",3200,1,"Região Sudeste"
"F","1<RFP<=1,5","Preta",26,2,"Evadidos","Integral",3600,1.15,"Região Centro-Oeste"
"M","0<RFP<=0,5","Preta",21,2,"Evadidos","Integral",3000,1.21,"Região Sudeste"
"F","0<RFP<=0,5","Preta",24,2,"Evadidos","Integral",3000,1.21,"Região Sudeste"
"F","1<RFP<=1,5","Preta",20,4,"Evadidos","Integral",3600,1.15,"Região Norte"
"F","1<RFP<=1,5","Preta",22,3,"Evadidos","Integral",2400,1.15,"Região Sudeste"
"M","1,5<RFP<=2,5","Preta",23,2,"Evadidos","Integral",3600,1.15,"Região Norte"
"F","RFP>3,5","Preta",29,3,"Evadidos","Integral",3600,1.06,"Região Sudeste"
"M","1,5<RFP<=2,5","Preta",35,3,"Evadidos","Integral",3600,1.16,"Região Sul"
"F","RFP>3,5","Preta",20,2,"Evadidos","Integral",3000,1.21,"Região Sudeste"
"F","NA","Preta",27,8,"Evadidos","Integral",4000,1.21,"Região Centro-Oeste"
"M","NA","Preta",29,10,"Evadidos","Integral",3600,1.19,"Região Sudeste"
"F","0,5<RFP<=1","Preta",29,10,"Concluintes","Integral",3600,1.15,"Região Sudeste"
"M","0,5<RFP<=1","Preta",30,10,"Concluintes","Integral",3000,1.21,"Região Nordeste"
"M","1,5<RFP<=2,5","Preta",26,10,"Concluintes","Integral",3600,1.14,"Região Sudeste"
"M","0<RFP<=0,5","Preta",26,10,"Concluintes","Integral",4000,1.21,"Região Nordeste"
"F","0,5<RFP<=1","Preta",29,10,"Concluintes","Integral",3600,1.16,"Região Nordeste"
"M","0,5<RFP<=1","Preta",25,10,"Concluintes","Integral",3600,1.14,"Região Nordeste"
"M","RFP>3,5","Preta",37,10,"Concluintes","Integral",3600,1.16,"Região Nordeste"
"M","NA","Preta",25,10,"Concluintes","Integral",3000,1,"Região Nordeste"
"F","0,5<RFP<=1","Preta",22,8,"Concluintes","Integral",3000,1,"Região Nordeste"
"M","0,5<RFP<=1","Preta",25,10,"Concluintes","Integral",3000,1.21,"Região Nordeste"
"M","NA","Preta",23,8,"Concluintes","Integral",3000,1.1,"Região Centro-Oeste"
"F","NA","Preta",23,8,"Concluintes","Integral",3000,1.1,"Região Centro-Oeste"
"M","0,5<RFP<=1","Preta",24,10,"Concluintes","Integral",3600,1.14,"Região Nordeste"
"M","1,5<RFP<=2,5","Preta",25,8,"Concluintes","Integral",3000,1.1,"Região Sudeste"
"M","0,5<RFP<=1","Preta",24,8,"Concluintes","Integral",3000,1.1,"Região Sudeste"
"M","1<RFP<=1,5","Preta",22,10,"Concluintes","Integral",3600,1.15,"Região Sudeste"
"M","0,5<RFP<=1","Preta",26,10,"Concluintes","Integral",3600,1.1,"Região Sudeste"
"F","1,5<RFP<=2,5","Preta",27,10,"Concluintes","Integral",3600,1.15,"Região Sudeste"
"M","NA","Preta",24,8,"Concluintes","Integral",3000,1.1,"Região Sudeste"
