CategoriadeSituacao,Sexo,RendaFamiliar,CorRaca,FaixaEtaria,Turno,CargaHorariaMinimaRegulamentada,InscritoVagas,FatordeEsforcodeCurso,Regiao
"Concluintes","M","0<RFP<=0.5","Preta","25 a 29 anos","Integral",3600,10.875,1.1,"Regiao Sul"
"Concluintes","F","NA","Preta","40 a 44 anos","Integral",3600,131.6,1.16,"Regiao Sudeste"
"Concluintes","M","1.5<RFP<=2.5","Preta","20 a 24 anos","Integral",3600,20.425,1.14,"Regiao Centro-Oeste"
"Evadidos","M","0<RFP<=0.5","Preta","20 a 24 anos","Integral",3000,0.875,1.21,"Regiao Sudeste"
"Evadidos","M","1<RFP<=1.5","Preta","20 a 24 anos","Integral",3600,22.9,1.16,"Regiao Sudeste"
"Evadidos","M","RFP>3.5","Preta","20 a 24 anos","Integral",3600,36.375,1.16,"Regiao Sudeste"
"Evadidos","M","NA","Preta","15 a 19 anos","Integral",3200,3.6,1.06,"Regiao Sudeste"
"Evadidos","F","0.5<RFP<=1","Preta","15 a 19 anos","Integral",3600,7.575,1.16,"Regiao Nordeste"
"Evadidos","M","NA","Preta","20 a 24 anos","Integral",3600,101.275,1.15,"Regiao Sudeste"
"Evadidos","F","0<RFP<=0.5","Preta","20 a 24 anos","Integral",3600,12.175,1.16,"Regiao Sudeste"
"Evadidos","F","1.5<RFP<=2.5","Preta","15 a 19 anos","Integral",3600,2.75,1.16,"Regiao Sudeste"
"Evadidos","F","NA","Preta","15 a 19 anos","Integral",3200,14.475,1.06,"Regiao Norte"
"Evadidos","M","1<RFP<=1.5","Preta","20 a 24 anos","Integral",3000,19.075,1.21,"Regiao Sudeste"
"Evadidos","M","NA","Preta","20 a 24 anos","Integral",3600,2,1.15,"Regiao Sudeste"
"Evadidos","F","0.5<RFP<=1","Preta","20 a 24 anos","Integral",3600,21.675,1.16,"Regiao Sudeste"
"Evadidos","F","0.5<RFP<=1","Preta","30 a 34 anos","Integral",3000,113.275,1.21,"Regiao Sudeste"
"Evadidos","F","0.5<RFP<=1","Preta","30 a 34 anos","Integral",3600,10.525,1.16,"Regiao Sudeste"
"Evadidos","M","0<RFP<=0.5","Preta","25 a 29 anos","Integral",3600,54.6,1.16,"Regiao Sudeste"
"Evadidos","M","1<RFP<=1.5","Preta","20 a 24 anos","Integral",3000,25.85,1.1,"Regiao Nordeste"
"Evadidos","M","1<RFP<=1.5","Preta","15 a 19 anos","Integral",3600,11.625,1.15,"Regiao Sudeste"
"Evadidos","M","NA","Preta","40 a 44 anos","Integral",3600,7.05,1.14,"Regiao Nordeste"
"Evadidos","M","0<RFP<=0.5","Preta","30 a 34 anos","Integral",3600,10.875,1.1,"Regiao Sul"
"Evadidos","M","0.5<RFP<=1","Preta","20 a 24 anos","Integral",3600,4.8,1.16,"Regiao Sul"
"Evadidos","M","0<RFP<=0.5","Preta","25 a 29 anos","Integral",3600,8.3,1.16,"Regiao Sudeste"
"Evadidos","M","0<RFP<=0.5","Preta","20 a 24 anos","Integral",3600,0,1.16,"Regiao Sudeste"
"Evadidos","F","0<RFP<=0.5","Preta","25 a 29 anos","Integral",3600,40.05,1.19,"Regiao Sudeste"
"Evadidos","M","0.5<RFP<=1","Preta","20 a 24 anos","Integral",3600,9.775,1.16,"Regiao Sudeste"
"Evadidos","M","0<RFP<=0.5","Preta","20 a 24 anos","Integral",3600,10.6,1.15,"Regiao Sudeste"
"Evadidos","M","2.5<RFP<=3.5","Preta","20 a 24 anos","Integral",3600,40.05,1.19,"Regiao Sudeste"
"Evadidos","M","NA","Preta","20 a 24 anos","Integral",2400,4.65,1.13,"Regiao Sudeste"
"Evadidos","M","NA","Preta","35 a 39 anos","Integral",2400,4.65,1.13,"Regiao Sudeste"
"Evadidos","M","0<RFP<=0.5","Preta","20 a 24 anos","Integral",3600,15.025,1.16,"Regiao Sudeste"
"Evadidos","M","NA","Preta","20 a 24 anos","Integral",3600,4.975,1.16,"Regiao Norte"
"Evadidos","F","1<RFP<=1.5","Preta","15 a 19 anos","Integral",3600,18.45,1.15,"Regiao Norte"
"Evadidos","F","1.5<RFP<=2.5","Preta","20 a 24 anos","Integral",3200,14.475,1.06,"Regiao Norte"
"Evadidos","F","0<RFP<=0.5","Preta","45 a 49 anos","Integral",3600,20.725,1.16,"Regiao Sudeste"
"Evadidos","M","0.5<RFP<=1","Preta","35 a 39 anos","Integral",3600,20.725,1.16,"Regiao Sudeste"
"Evadidos","M","0.5<RFP<=1","Preta","20 a 24 anos","Integral",3600,70.85,1.16,"Regiao Sudeste"
"Evadidos","F","1<RFP<=1.5","Preta","15 a 19 anos","Integral",3600,13.45,1.15,"Regiao Sudeste"
"Evadidos","M","NA","Preta","30 a 34 anos","Integral",3600,7.775,1.19,"Regiao Sul"
"Evadidos","M","NA","Preta","15 a 19 anos","Integral",3600,12.525,1.16,"Regiao Sudeste"
"Evadidos","M","1.5<RFP<=2.5","Preta","20 a 24 anos","Integral",3600,70,1.16,"Regiao Sudeste"
"Evadidos","M","1<RFP<=1.5","Preta","Maior de 60 anos","Integral",3600,20.7,1.16,"Regiao Sudeste"
"Evadidos","M","2.5<RFP<=3.5","Preta","25 a 29 anos","Integral",3600,3.4,1.15,"Regiao Sudeste"
"Evadidos","M","1.5<RFP<=2.5","Preta","25 a 29 anos","Integral",3000,3.025,1.21,"Regiao Sudeste"
"Evadidos","M","RFP>3.5","Preta","15 a 19 anos","Integral",3600,3.175,1.1,"Regiao Centro-Oeste"
"Evadidos","M","NA","Preta","45 a 49 anos","Integral",3600,1.25,1.14,"Regiao Centro-Oeste"
"Evadidos","F","0.5<RFP<=1","Preta","20 a 24 anos","Integral",3200,4.7,1.06,"Regiao Nordeste"
"Evadidos","F","NA","Preta","20 a 24 anos","Integral",3600,14.025,1.15,"Regiao Sudeste"
"Evadidos","F","0<RFP<=0.5","Preta","30 a 34 anos","Integral",3200,4.7,1.06,"Regiao Nordeste"
"Evadidos","M","0<RFP<=0.5","Preta","50 a 54 anos","Integral",3600,15.325,1.16,"Regiao Sudeste"
"Evadidos","F","0.5<RFP<=1","Preta","40 a 44 anos","Integral",3600,15.325,1.16,"Regiao Sudeste"
"Evadidos","M","NA","Preta","30 a 34 anos","Integral",3600,0,1.15,"Regiao Sudeste"
"Evadidos","F","NA","Preta","25 a 29 anos","Integral",3600,0,1.15,"Regiao Sudeste"
"Evadidos","M","1.5<RFP<=2.5","Preta","25 a 29 anos","Integral",3600,0,1.16,"Regiao Sudeste"
"Evadidos","F","1.5<RFP<=2.5","Preta","25 a 29 anos","Integral",2400,23.6,1.13,"Regiao Sudeste"
"Evadidos","M","1.5<RFP<=2.5","Preta","25 a 29 anos","Integral",3600,33.55,1.15,"Regiao Norte"
"Evadidos","F","0<RFP<=0.5","Preta","30 a 34 anos","Integral",3600,21.05,1.15,"Regiao Norte"
"Evadidos","M","1<RFP<=1.5","Preta","25 a 29 anos","Integral",3600,49.925,1.14,"Regiao Norte"
"Evadidos","M","0.5<RFP<=1","Preta","15 a 19 anos","Integral",3600,11.775,1.06,"Regiao Sudeste"
"Evadidos","M","NA","Preta","20 a 24 anos","Integral",3600,24.875,1.16,"Regiao Sudeste"
