Sexo,RendaFamiliar,CorRaca,Idade,FaixaEtaria,Semest,CategoriadeSituacao,Turno,CargaHorariaMinimaRegulamentada,FatordeEsforcodeCurso,Regiao
"M",NA,"Preta",18,"15 a 19 anos",0,"Evadidos","Integral",3200,1.06,"Região Sudeste"
"F","0,5<RFP<=1","Preta",18,"15 a 19 anos",1,"Evadidos","Integral",3600,1.16,"Região Nordeste"
"M",NA,"Preta",23,"20 a 24 anos",6,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"F","0<RFP<=0,5","Preta",21,"20 a 24 anos",7,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"F","1,5<RFP<=2,5","Preta",19,"15 a 19 anos",0,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","1,5<RFP<=2,5","Preta",28,"25 a 29 anos",8,"Evadidos","Integral",3000,1.21,"Região Sudeste"
"F","RFP>3,5","Preta",21,"20 a 24 anos",8,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","0,5<RFP<=1","Preta",21,"20 a 24 anos",8,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"F",NA,"Preta",19,"15 a 19 anos",1,"Evadidos","Integral",3200,1.06,"Região Norte"
"M","1<RFP<=1,5","Preta",22,"20 a 24 anos",2,"Evadidos","Integral",3000,1.21,"Região Sudeste"
"M",NA,"Preta",23,"20 a 24 anos",5,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"F","0,5<RFP<=1","Preta",23,"20 a 24 anos",1,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"F","0,5<RFP<=1","Preta",33,"30 a 34 anos",6,"Evadidos","Integral",3000,1.21,"Região Sudeste"
"F","0,5<RFP<=1","Preta",31,"30 a 34 anos",6,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","0<RFP<=0,5","Preta",27,"25 a 29 anos",9,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","1<RFP<=1,5","Preta",30,"30 a 34 anos",10,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","1<RFP<=1,5","Preta",20,"20 a 24 anos",4,"Evadidos","Integral",3000,1.1,"Região Nordeste"
"M","1<RFP<=1,5","Preta",17,"15 a 19 anos",0,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M",NA,"Preta",43,"40 a 44 anos",4,"Evadidos","Integral",3600,1.14,"Região Nordeste"
"M","0<RFP<=0,5","Preta",30,"30 a 34 anos",4,"Evadidos","Integral",3600,1.1,"Região Sul"
"M","0,5<RFP<=1","Preta",23,"20 a 24 anos",4,"Evadidos","Integral",3600,1.16,"Região Sul"
"M","0<RFP<=0,5","Preta",25,"25 a 29 anos",4,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","0<RFP<=0,5","Preta",23,"20 a 24 anos",10,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"F","0<RFP<=0,5","Preta",25,"25 a 29 anos",10,"Evadidos","Integral",3600,1.19,"Região Sudeste"
"M","0,5<RFP<=1","Preta",23,"20 a 24 anos",1,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","0<RFP<=0,5","Preta",20,"20 a 24 anos",1,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","2,5<RFP<=3,5","Preta",24,"20 a 24 anos",10,"Evadidos","Integral",3600,1.19,"Região Sudeste"
"M",NA,"Preta",21,"20 a 24 anos",2,"Evadidos","Integral",2400,1.13,"Região Sudeste"
"M",NA,"Preta",36,"35 a 39 anos",2,"Evadidos","Integral",2400,1.13,"Região Sudeste"
"M","0<RFP<=0,5","Preta",20,"20 a 24 anos",2,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M",NA,"Preta",23,"20 a 24 anos",1,"Evadidos","Integral",3600,1.16,"Região Norte"
"F","1<RFP<=1,5","Preta",19,"15 a 19 anos",1,"Evadidos","Integral",3600,1.15,"Região Norte"
"F","1,5<RFP<=2,5","Preta",22,"20 a 24 anos",1,"Evadidos","Integral",3200,1.06,"Região Norte"
"F","0<RFP<=0,5","Preta",46,"45 a 49 anos",8,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","0,5<RFP<=1","Preta",39,"35 a 39 anos",8,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","0,5<RFP<=1","Preta",22,"20 a 24 anos",4,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"F","1<RFP<=1,5","Preta",19,"15 a 19 anos",1,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M",NA,"Preta",30,"30 a 34 anos",2,"Evadidos","Integral",3600,1.19,"Região Sul"
"M",NA,"Preta",19,"15 a 19 anos",2,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","1,5<RFP<=2,5","Preta",23,"20 a 24 anos",8,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","1<RFP<=1,5","Preta",65,"Maior de 60 anos",10,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","2,5<RFP<=3,5","Preta",29,"25 a 29 anos",10,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","1,5<RFP<=2,5","Preta",26,"25 a 29 anos",10,"Evadidos","Integral",3000,1.21,"Região Sudeste"
"F","RFP>3,5","Preta",30,"30 a 34 anos",10,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","RFP>3,5","Preta",19,"15 a 19 anos",1,"Evadidos","Integral",3600,1.1,"Região Centro-Oeste"
"M",NA,"Preta",48,"45 a 49 anos",0,"Evadidos","Integral",3600,1.14,"Região Centro-Oeste"
"F","0,5<RFP<=1","Preta",19,"15 a 19 anos",1,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"F","0,5<RFP<=1","Preta",24,"20 a 24 anos",1,"Evadidos","Integral",3200,1.06,"Região Nordeste"
"F",NA,"Preta",20,"20 a 24 anos",4,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"F","0<RFP<=0,5","Preta",30,"30 a 34 anos",1,"Evadidos","Integral",3200,1.06,"Região Nordeste"
"M","RFP>3,5","Preta",26,"25 a 29 anos",10,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","0<RFP<=0,5","Preta",53,"50 a 54 anos",10,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"F","0,5<RFP<=1","Preta",40,"40 a 44 anos",10,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M",NA,"Preta",30,"30 a 34 anos",10,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"F",NA,"Preta",26,"25 a 29 anos",10,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","1,5<RFP<=2,5","Preta",28,"25 a 29 anos",10,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"F","1,5<RFP<=2,5","Preta",26,"25 a 29 anos",10,"Evadidos","Integral",2400,1.13,"Região Sudeste"
"M","1,5<RFP<=2,5","Preta",25,"25 a 29 anos",10,"Evadidos","Integral",3600,1.15,"Região Norte"
"F","0<RFP<=0,5","Preta",32,"30 a 34 anos",5,"Evadidos","Integral",3600,1.15,"Região Norte"
"M","1<RFP<=1,5","Preta",27,"25 a 29 anos",9,"Evadidos","Integral",3600,1.14,"Região Norte"
"M","0,5<RFP<=1","Preta",19,"15 a 19 anos",2,"Evadidos","Integral",3600,1.06,"Região Sudeste"
"M",NA,"Preta",21,"20 a 24 anos",2,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","0,5<RFP<=1","Preta",34,"30 a 34 anos",2,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"F","0,5<RFP<=1","Preta",27,"25 a 29 anos",2,"Evadidos","Integral",3600,1.15,"Região Norte"
"M","1,5<RFP<=2,5","Preta",20,"20 a 24 anos",3,"Evadidos","Integral",3600,1.16,"Região Norte"
"M",NA,"Preta",31,"30 a 34 anos",2,"Evadidos","Integral",2400,1,"Região Sudeste"
"M",NA,"Preta",20,"20 a 24 anos",3,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"F","0,5<RFP<=1","Preta",22,"20 a 24 anos",3,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","0<RFP<=0,5","Preta",25,"25 a 29 anos",2,"Evadidos","Integral",3000,1.21,"Região Sudeste"
"F","0<RFP<=0,5","Preta",23,"20 a 24 anos",3,"Evadidos","Integral",2400,1.13,"Região Sudeste"
"M",NA,"Preta",24,"20 a 24 anos",4,"Evadidos","Integral",3600,1.15,"Região Nordeste"
"M",NA,"Preta",25,"25 a 29 anos",4,"Evadidos","Integral",3600,1.15,"Região Nordeste"
"M","0<RFP<=0,5","Preta",20,"20 a 24 anos",3,"Evadidos","Integral",3600,1.19,"Região Sudeste"
"M","0,5<RFP<=1","Preta",20,"20 a 24 anos",3,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M",NA,"Preta",30,"30 a 34 anos",3,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"F","1,5<RFP<=2,5","Preta",20,"20 a 24 anos",3,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","0,5<RFP<=1","Preta",21,"20 a 24 anos",3,"Evadidos","Integral",3600,1.06,"Região Sudeste"
"F","0,5<RFP<=1","Preta",23,"20 a 24 anos",2,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","0,5<RFP<=1","Preta",40,"40 a 44 anos",6,"Evadidos","Integral",3000,1.21,"Região Sudeste"
"M","0,5<RFP<=1","Preta",32,"30 a 34 anos",3,"Evadidos","Integral",3600,1.19,"Região Sudeste"
"M","1,5<RFP<=2,5","Preta",36,"35 a 39 anos",3,"Evadidos","Integral",3000,1.21,"Região Sudeste"
"M","2,5<RFP<=3,5","Preta",29,"25 a 29 anos",10,"Evadidos","Integral",3000,1.21,"Região Sudeste"
"M","1,5<RFP<=2,5","Preta",36,"35 a 39 anos",10,"Evadidos","Integral",3000,1.21,"Região Sudeste"
"F",NA,"Preta",21,"20 a 24 anos",6,"Evadidos","Integral",3000,1.21,"Região Sudeste"
"M",NA,"Preta",48,"45 a 49 anos",10,"Evadidos","Integral",3000,1.21,"Região Sudeste"
"M","2,5<RFP<=3,5","Preta",24,"20 a 24 anos",10,"Evadidos","Integral",3000,1.21,"Região Sudeste"
"M","0<RFP<=0,5","Preta",21,"20 a 24 anos",6,"Evadidos","Integral",3000,1.1,"Região Sudeste"
"F","1<RFP<=1,5","Preta",22,"20 a 24 anos",6,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"F","0,5<RFP<=1","Preta",23,"20 a 24 anos",6,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","0<RFP<=0,5","Preta",21,"20 a 24 anos",5,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","0<RFP<=0,5","Preta",24,"20 a 24 anos",5,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"F","0<RFP<=0,5","Preta",24,"20 a 24 anos",6,"Evadidos","Integral",3200,1.24,"Região Nordeste"
"F",NA,"Preta",31,"30 a 34 anos",5,"Evadidos","Integral",3200,1.15,"Região Sudeste"
"M","0<RFP<=0,5","Preta",18,"15 a 19 anos",1,"Evadidos","Integral",3600,1.15,"Região Centro-Oeste"
"F",NA,"Preta",24,"20 a 24 anos",7,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","0<RFP<=0,5","Preta",20,"20 a 24 anos",1,"Evadidos","Integral",3600,1.15,"Região Centro-Oeste"
"F","0<RFP<=0,5","Preta",19,"15 a 19 anos",1,"Evadidos","Integral",3600,1.15,"Região Centro-Oeste"
"F","0,5<RFP<=1","Preta",27,"25 a 29 anos",6,"Evadidos","Integral",2400,1.1,"Região Sudeste"
"M",NA,"Preta",27,"25 a 29 anos",6,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"F",NA,"Preta",21,"20 a 24 anos",7,"Evadidos","Integral",3200,1.1,"Região Sudeste"
"F",NA,"Preta",35,"35 a 39 anos",7,"Evadidos","Integral",3200,1.1,"Região Sudeste"
"M","1<RFP<=1,5","Preta",24,"20 a 24 anos",6,"Evadidos","Integral",3600,1.15,"Região Norte"
"F","1,5<RFP<=2,5","Preta",31,"30 a 34 anos",4,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M",NA,"Preta",19,"15 a 19 anos",1,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"F",NA,"Preta",29,"25 a 29 anos",4,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"F","1<RFP<=1,5","Preta",22,"20 a 24 anos",5,"Evadidos","Integral",3600,1.1,"Região Sudeste"
"F","1<RFP<=1,5","Preta",20,"20 a 24 anos",5,"Evadidos","Integral",2400,1.15,"Região Sudeste"
"M",NA,"Preta",21,"20 a 24 anos",5,"Evadidos","Integral",3200,1.1,"Região Sudeste"
"M",NA,"Preta",21,"20 a 24 anos",5,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M",NA,"Preta",31,"30 a 34 anos",5,"Evadidos","Integral",3000,1.1,"Região Nordeste"
"M","1,5<RFP<=2,5","Preta",25,"25 a 29 anos",4,"Evadidos","Integral",3600,1.1,"Região Sudeste"
"F","1<RFP<=1,5","Preta",25,"25 a 29 anos",3,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","0<RFP<=0,5","Preta",21,"20 a 24 anos",7,"Evadidos","Integral",3600,1.15,"Região Sul"
"M","2,5<RFP<=3,5","Preta",29,"25 a 29 anos",10,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M",NA,"Preta",23,"20 a 24 anos",4,"Evadidos","Integral",3000,1.1,"Região Nordeste"
"F","0<RFP<=0,5","Preta",21,"20 a 24 anos",4,"Evadidos","Integral",3600,1.15,"Região Sul"
"F","1<RFP<=1,5","Preta",28,"25 a 29 anos",5,"Evadidos","Integral",3200,1.06,"Região Sudeste"
"M","0<RFP<=0,5","Preta",27,"25 a 29 anos",5,"Evadidos","Integral",3000,1.1,"Região Sudeste"
"M","0,5<RFP<=1","Preta",22,"20 a 24 anos",5,"Evadidos","Integral",3000,1,"Região Sudeste"
"M",NA,"Preta",20,"20 a 24 anos",5,"Evadidos","Integral",2400,1.15,"Região Sudeste"
"M","0<RFP<=0,5","Preta",20,"20 a 24 anos",5,"Evadidos","Integral",3600,1.14,"Região Norte"
"M","0<RFP<=0,5","Preta",32,"30 a 34 anos",4,"Evadidos","Integral",3600,1.06,"Região Sudeste"
"F",NA,"Preta",23,"20 a 24 anos",10,"Evadidos","Integral",3200,1.15,"Região Sudeste"
"M","1,5<RFP<=2,5","Preta",28,"25 a 29 anos",10,"Evadidos","Integral",3600,1.1,"Região Sudeste"
"M","0,5<RFP<=1","Preta",21,"20 a 24 anos",3,"Evadidos","Integral",2400,1.15,"Região Sudeste"
"M","1<RFP<=1,5","Preta",19,"15 a 19 anos",3,"Evadidos","Integral",2400,1.15,"Região Sudeste"
"F","0,5<RFP<=1","Preta",33,"30 a 34 anos",2,"Evadidos","Integral",3600,1.15,"Região Nordeste"
"M","0,5<RFP<=1","Preta",22,"20 a 24 anos",2,"Evadidos","Integral",3600,1.15,"Região Nordeste"
"F","1,5<RFP<=2,5","Preta",27,"25 a 29 anos",10,"Evadidos","Integral",3200,1,"Região Sudeste"
"M","0,5<RFP<=1","Preta",33,"30 a 34 anos",2,"Evadidos","Integral",3600,1.15,"Região Centro-Oeste"
"F","1<RFP<=1,5","Preta",21,"20 a 24 anos",2,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M",NA,"Preta",25,"25 a 29 anos",10,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"F",NA,"Preta",29,"25 a 29 anos",9,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","0,5<RFP<=1","Preta",21,"20 a 24 anos",4,"Evadidos","Integral",2400,1.15,"Região Sudeste"
"F",NA,"Preta",26,"25 a 29 anos",6,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M",NA,"Preta",32,"30 a 34 anos",10,"Evadidos","Integral",3000,1.1,"Região Nordeste"
"M","RFP>3,5","Preta",51,"50 a 54 anos",8,"Evadidos","Integral",3200,1,"Região Sudeste"
"M",NA,"Preta",25,"25 a 29 anos",10,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","RFP>3,5","Preta",40,"40 a 44 anos",10,"Evadidos","Integral",3000,1.21,"Região Sudeste"
"F","0,5<RFP<=1","Preta",27,"25 a 29 anos",10,"Evadidos","Integral",3600,1.15,"Região Sudeste"
"M","0,5<RFP<=1","Preta",22,"20 a 24 anos",10,"Evadidos","Integral",2400,1.15,"Região Sudeste"
"M","0<RFP<=0,5","Preta",30,"30 a 34 anos",10,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"M","0,5<RFP<=1","Preta",27,"25 a 29 anos",10,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"F",NA,"Preta",32,"30 a 34 anos",10,"Evadidos","Integral",3600,1.2,"Região Sudeste"
"F",NA,"Preta",22,"20 a 24 anos",8,"Evadidos","Integral",3600,1.1,"Região Centro-Oeste"
"F","0<RFP<=0,5","Preta",30,"30 a 34 anos",9,"Evadidos","Integral",3600,1.14,"Região Norte"
"M","0,5<RFP<=1","Preta",38,"35 a 39 anos",1,"Evadidos","Integral",3600,1.16,"Região Sudeste"
"F",NA,"Preta",21,"20 a 24 anos",5,"Evadidos","Integral",3600,1.15,"Região Centro-Oeste"
"M","0,5<RFP<=1","Preta",21,"20 a 24 anos",6,"Evadidos","Integral",3600,1.1,"Região Sudeste"
"M","1<RFP<=1,5","Preta",21,"20 a 24 anos",6,"Evadidos","Integral",2400,1.15,"Região Sudeste"
"M","0,5<RFP<=1","Preta",36,"35 a 39 anos",10,"Evadidos","Integral",3600,1.14,"Região Nordeste"
"M","1<RFP<=1,5","Preta",44,"40 a 44 anos",9,"Evadidos","Integral",3000,1.1,"Região Nordeste"
"M","1,5<RFP<=2,5","Preta",30,"30 a 34 anos",10,"Evadidos","Integral",3600,1.2,"Região Sudeste"
