Sexo,RendaFamiliar,CorRaca,FaixaEtaria,Semestres,Turno,CargaHorariaMinimaRegulamentada,TipodeCurso,FatordeEsforcodeCurso,CategoriadeSituacao
"F","0,5<RFP<=1","Preta","15 a 19 anos",1,"Integral",3600,"Bacharelado",1.15,"Evadidos"
"F","0,5<RFP<=1","Preta","20 a 24 anos",1,"Integral",3200,"Bacharelado",1.06,"Evadidos"
"F","0<RFP<=0,5","Preta","30 a 34 anos",1,"Integral",3200,"Bacharelado",1.06,"Evadidos"
"M","RFP>3,5","Preta","25 a 29 anos",10,"Integral",3600,"Bacharelado",1.15,"Evadidos"
"M","0<RFP<=0,5","Preta","50 a 54 anos",10,"Integral",3600,"Bacharelado",1.16,"Evadidos"
"F","0,5<RFP<=1","Preta","40 a 44 anos",10,"Integral",3600,"Bacharelado",1.16,"Evadidos"
"M","1,5<RFP<=2,5","Preta","25 a 29 anos",10,"Integral",3600,"Bacharelado",1.16,"Evadidos"
"F","1,5<RFP<=2,5","Preta","25 a 29 anos",10,"Integral",2400,"Bacharelado",1.13,"Evadidos"
"M","1,5<RFP<=2,5","Preta","25 a 29 anos",10,"Integral",3600,"Bacharelado",1.15,"Evadidos"
"F","0<RFP<=0,5","Preta","30 a 34 anos",5,"Integral",3600,"Bacharelado",1.15,"Evadidos"
"M","1<RFP<=1,5","Preta","25 a 29 anos",9,"Integral",3600,"Bacharelado",1.14,"Evadidos"
"M","0,5<RFP<=1","Preta","15 a 19 anos",2,"Integral",3600,"Bacharelado",1.06,"Evadidos"
"M","0,5<RFP<=1","Preta","30 a 34 anos",2,"Integral",3600,"Bacharelado",1.16,"Evadidos"
"F","0,5<RFP<=1","Preta","25 a 29 anos",2,"Integral",3600,"Bacharelado",1.15,"Evadidos"
"M","1,5<RFP<=2,5","Preta","20 a 24 anos",3,"Integral",3600,"Bacharelado",1.16,"Evadidos"
"F","0,5<RFP<=1","Preta","20 a 24 anos",3,"Integral",3600,"Bacharelado",1.15,"Evadidos"
"M","0<RFP<=0,5","Preta","25 a 29 anos",2,"Integral",3000,"Bacharelado",1.21,"Evadidos"
"F","0<RFP<=0,5","Preta","20 a 24 anos",3,"Integral",2400,"Bacharelado",1.13,"Evadidos"
"M","0<RFP<=0,5","Preta","20 a 24 anos",3,"Integral",3600,"Bacharelado",1.19,"Evadidos"
"M","0,5<RFP<=1","Preta","20 a 24 anos",3,"Integral",3600,"Bacharelado",1.16,"Evadidos"
